TF	target
ERF	ATAD3A
ETV3	ATAD3A
FEV	ATAD3A
NFKB1	ATAD3A
NFKB2	ATAD3A
SPDEF	ATAD3A
ELF1	ATAD3A
SOX15	ATAD3A
ELF3	ATAD3A
SP2	TMEM240
ZEB1	TMEM240
EGR1	TMEM240
Nr2f6(var	TMEM240
RREB1	TMEM240
RARA	TMEM240
TBX5	TMEM240
Rarb	TMEM240
KLF16	TMEM240
SNAI2	TMEM240
RUNX1	MIB2
E2F6	MIB2
Stat4	MIB2
KLF9	MIB2
HNF4G	MIB2
ZEB1	MIB2
ID4	MIB2
TCF3	MIB2
TCF4	MIB2
RUNX2	MIB2
HSF1	MIB2
Foxo1	MIB2
Nr2e1	MIB2
Sox6	MIB2
Sox3	MIB2
RELA	MIB2
REL	MIB2
TBX5	MIB2
MEIS2	MIB2
MEIS3	MIB2
SOX10	MIB2
Zfx	MIB2
GLI2	MIB2
SNAI2	MIB2
PBX2	MIB2
TCF7L1	MIB2
RUNX3	MIB2
THAP1	MMP23B
TFDP1	MMP23B
HES7	MMP23B
HES5	MMP23B
SMAD2	MMP23B
HIF1A	MMP23B
ZBTB18	SLC35E2B
TWIST1	SLC35E2B
Six3	SLC35E2B
CEBPA	SLC35E2B
Pitx1	SLC35E2B
RHOXF1	SLC35E2B
TBX21	SLC35E2B
Spz1	SLC35E2B
RORA(var	SLC35E2B
NFKB1	SLC35E2B
NFKB2	SLC35E2B
ASCL1	SLC35E2B
ZEB1	SLC35E2B
ID4	SLC35E2B
TCF3	SLC35E2B
FIGLA	SLC35E2B
TCF4	SLC35E2B
ZNF143	SLC35E2B
NEUROG2	SLC35E2B
Ascl2	SLC35E2B
HES7	SLC35E2B
HES5	SLC35E2B
TFE3	SLC35E2B
SP8	SLC35E2B
KLF14	SLC35E2B
Nr2f6(var	SLC35E2B
Tcfl5	SLC35E2B
HEY2	SLC35E2B
Hes1	SLC35E2B
HEY1	SLC35E2B
ZNF384	SLC35E2B
SOX4	SLC35E2B
Rarg	SLC35E2B
PKNOX1	SLC35E2B
PKNOX2	SLC35E2B
TGIF1	SLC35E2B
TBR1	SLC35E2B
NEUROD1	SLC35E2B
RXRA	SLC35E2B
SMAD2	SLC35E2B
Ddit3	SLC35E2B
RARA	SLC35E2B
PLAG1	SLC35E2B
SP4	SLC35E2B
TBX5	SLC35E2B
MGA	SLC35E2B
TBX4	SLC35E2B
TBX1	SLC35E2B
TBX15	SLC35E2B
FOSL2	SLC35E2B
Rarb	SLC35E2B
Sox11	SLC35E2B
SOX21	SLC35E2B
NR2F1	SLC35E2B
KLF16	SLC35E2B
NHLH1	SLC35E2B
SNAI2	SLC35E2B
YY1	SLC35E2B
RUNX1	SLC35E2B
KLF4	SLC35E2B
Klf1	SLC35E2B
KLF9	SLC35E2B
Tcf12	SLC35E2B
Myog	SLC35E2B
PRDM1	SLC35E2B
Myod1	SLC35E2B
TP73	SLC35E2B
NFATC2	SLC35E2B
NR1H4	SLC35E2B
SP3	SLC35E2B
SRY	SLC35E2B
MZF1	SLC35E2B
RARA(var	SLC35E2B
Rarb(var	SLC35E2B
KLF5	SLC35E2B
FOXK2	SLC35E2B
SOX15	SLC35E2B
Zfx	SLC35E2B
SCRT2	SLC35E2B
USF1	SLC35E2B
MYCN	SLC35E2B
STAT3	SLC35E2B
STAT1	SLC35E2B
INSM1	SLC35E2B
Stat4	SLC35E2B
Bcl6	SLC35E2B
SIX1	SLC35E2B
Klf12	SLC35E2B
Hand1	SLC35E2B
HNF4G	SLC35E2B
SIX2	SLC35E2B
Stat5a	SLC35E2B
TFEC	SLC35E2B
TFEB	SLC35E2B
Pparg	SLC35E2B
IRF5	SLC35E2B
PAX5	SLC35E2B
PPARG	SLC35E2B
TFAP2A(var	SLC35E2B
ZNF410	SLC35E2B
HIC2	CDK11A
ID4	CDK11A
TCF3	CDK11A
TCF4	CDK11A
ZNF263	CDK11A
SNAI2	CDK11A
Sox5	SLC35E2A
TP63	SLC35E2A
ESR1	SLC35E2A
Arid3b	SLC35E2A
HLF	SLC35E2A
DBP	SLC35E2A
Arid3a	SLC35E2A
Phox2b	SLC35E2A
PHOX2A	SLC35E2A
PROP1	SLC35E2A
POU4F1	SLC35E2A
SRY	SLC35E2A
